road_geometry_id,source_road_code,source_object_id_nonunique,qgis_name,qgis_district,qgis_village,match_status,candidate_nomor_ruas,candidate_display_name,note
hss-county-179,179,147,SP. Mandampa Telaga Sili-Sili - SP. Sungai Bungur,Angkinang,Ds. Angkinang - Ds. Pandulangan,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-060,060,57,Jl. Sungai Karuh Tembus Tawar,Kandangan,Ds. Amawang Kiri - Ds. Lungau,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-216,216,191,Jl. Sungai Kacil I - Kapuh Padang,Simpur,Ds. Wasah Hilir - Ds. Kapuh,exact_normalized,216,Sungai Kacil I - Kapuh Padang,Precheck only; canonical Treatment Engine road_key still required.
hss-county-209,209,180,Wasah Hilir - Amparaya,Simpur,Ds. Wasah Hilir - Ds. Panjampang Bahagia,exact_normalized,209,Wasah Hilir - Amparaya,Precheck only; canonical Treatment Engine road_key still required.
hss-county-068,068,92,Tibung Raya - Hamalau Dalam,Sungai Raya,Ds. Tibung Raya - Ds. Hamalau,exact_normalized,068,Tibung Raya - Hamalau Dalam,Precheck only; canonical Treatment Engine road_key still required.
hss-county-223,223,197,Jl. Mondar (Ulin - Pantai Ulin),Simpur,Ds. Ulin - Ds. Pantai Ulin,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-023,023,16,Jl. Brigjend. Katamso,Kandangan,Kandangan Barat,treatment_engine_alias,023,Brigjen Katamso,Precheck only; canonical Treatment Engine road_key still required.
hss-county-012,012,11,Jl. Kenanga,Kandangan,Kandangan Utara,exact_normalized,012,Kenanga,Precheck only; canonical Treatment Engine road_key still required.
hss-county-046,046,29,Bariang - Getek,Kandangan,Ds. Bariang - Ds. Amawang Kiri Muka,exact_normalized,046,Bariang - Getek,Precheck only; canonical Treatment Engine road_key still required.
hss-county-018,018,8,Jl. Parindra,Kandangan,Kandangan Utara,exact_normalized,018,Parindra,Precheck only; canonical Treatment Engine road_key still required.
hss-county-212,212,184,Panjampang Bahagia - Hanau,Simpur,Ds. Panjampang Bahagia,exact_normalized,212,Panjampang Bahagia - Hanau,Precheck only; canonical Treatment Engine road_key still required.
hss-county-215,215,674,Jl. Kalimput Ds. Wasah Hilir,Simpur,Ds. Wasah Hilir - Ds. Garunggang,exact_normalized,215,Kalimput Desa Wasah Hilir,Precheck only; canonical Treatment Engine road_key still required.
hss-county-104,104,90,Tanjungan - SP.3 Sakijang,Sungai Raya,Ds. Sarang Halang - Ds. Sei Raya Selatan,exact_normalized,104,Tanjungan - Sp. 3 Sakijang,Precheck only; canonical Treatment Engine road_key still required.
hss-county-005,005,5,Jl. Teluk Mesjid - SP.4 Muara Banta,Kandangan,Kandangan Kota,exact_normalized,005,Teluk Mesjid - Sp. 4 Muara Banta,Precheck only; canonical Treatment Engine road_key still required.
hss-county-251,251,204,Jl. Balanti - (Ex. P3DT),Kalumpang,Ds. Balanti,exact_normalized,251,Balanti - (Ex. P3DT),Precheck only; canonical Treatment Engine road_key still required.
hss-county-013,013,54,Jl. Mawar,Kandangan,Kandangan Utara,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-009,009,18,Jl. Panglima Batur,Kandangan,Kandangan Kota - Kandangan Utara,exact_normalized,009,Panglima Batur,Precheck only; canonical Treatment Engine road_key still required.
hss-county-114,114,104,Jl. Taminung,Sungai Raya,Ds. Telaga Bidadari,exact_normalized,114,Taminung,Precheck only; canonical Treatment Engine road_key still required.
hss-county-020,020,7,Jl. Musyawarah,Kandangan,Kandangan Kota,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-214,214,186,Jl. Amparaya-Karangan - Hanau,Simpur,Ds. Amparaya - Ds. Panjampang Bahagia,exact_normalized,214,Amparaya - Karangan - Hanau,Precheck only; canonical Treatment Engine road_key still required.
hss-county-149,149,121,Paku (Jambu Hulu) - Ganda,Padang Batung,Ds. Jambu Hulu - Ds. Baluti,exact_normalized,159,Paku (Jambu Hulu) - Ganda,Precheck only; canonical Treatment Engine road_key still required.
hss-county-247,247,202,Kalumpang - Balimau,Kalumpang,Ds. Kalumpang - Ds. Balimau,exact_normalized,247,Kalumpang - Balimau,Precheck only; canonical Treatment Engine road_key still required.
hss-county-030,030,709,Sungai Damang - Amawang Kiri,Kandangan,Ds. Sungai Paring - Ds. Bariang,exact_normalized,030,Sungai Damang - Amawang Kiri,Precheck only; canonical Treatment Engine road_key still required.
hss-county-219,219,193,Jl. Balaimas - Hanau,Simpur,Ds. Pantai Ulin - Ds.Panjampang Bahagia,exact_normalized,219,Balaimas - Hanau,Precheck only; canonical Treatment Engine road_key still required.
hss-county-038,038,51,Jl. Samping Bappeda - Mesjid Darul Halik,Kandangan,Ds. Tibung Raya,exact_normalized,038,Samping Bappeda - Mesjid Darul Halik,Precheck only; canonical Treatment Engine road_key still required.
hss-county-086,086,65,Hamalau - Anjiran,Sungai Raya,Ds. Hamalau - Ds. Telaga Bidadari,exact_normalized,086,Hamalau - Anjiran,Precheck only; canonical Treatment Engine road_key still required.
hss-county-088,088,67,Sungai Raya Selatan - Sarang Halang,Sungai Raya,Ds. Sei Raya Selatan - Ds. Paring Agung,exact_normalized,088,Sungai Raya Selatan - Sarang Halang,Precheck only; canonical Treatment Engine road_key still required.
hss-county-252,252,213,Kalumpang - Baruh,Kalumpang,Ds. Kalumpang - Ds. Sirih,exact_normalized,252,Kalumpang - Baruh,Precheck only; canonical Treatment Engine road_key still required.
hss-county-246,246,201,Sirih - Taro,Kalumpang,Ds. Sirih,exact_normalized,246,Sirih - Taro,Precheck only; canonical Treatment Engine road_key still required.
hss-county-011,011,10,Jl. Anggrek,Kandangan,Kandangan Utara,exact_normalized,011,Anggrek,Precheck only; canonical Treatment Engine road_key still required.
hss-county-105,105,91,Sarang Halang Padang - SP Batang Kulur,Sungai Raya,Ds. Paring Agung - Ds. Sungai Kali,exact_normalized,105,Sarang Halang Padang - Sp. Batang Kulur,Precheck only; canonical Treatment Engine road_key still required.
hss-county-213,213,185,Jl. Halaban,Simpur,Ds. Amparaya - Ds. Garunggang,exact_normalized,213,Halaban,Precheck only; canonical Treatment Engine road_key still required.
hss-county-085,085,64,Tajun - SP.3 Muara Paring Agung,Sungai Raya,Ds. Sungai Raya Utara - Ds.Sungai Kali,exact_normalized,085,Tajun - Sp.3 Muara Paring Agung,Precheck only; canonical Treatment Engine road_key still required.
hss-county-150,150,123,SP.3 Bukuanin - Riam Talo,Padang Batung,Ds. Mawangi - Ds. Halunuk,exact_normalized,150,Sp.3 Bukuanin - Riam Talo,Precheck only; canonical Treatment Engine road_key still required.
hss-county-205,205,175,Wasah Hilir - Sarang Halang,Simpur,Ds. Wasah Hilir - Ds. Sarang Halang,exact_normalized,205,Wasah Hilir - Sarang Halang,Precheck only; canonical Treatment Engine road_key still required.
hss-county-066,066,100,Jl. Teratai Menuju Komplek Perumnas Hamalau,Kandangan,Ds. Hamalau,exact_normalized,066,Teratai Menuju Komplek Perumnas Hamalau,Precheck only; canonical Treatment Engine road_key still required.
hss-county-248,248,205,Kalumpang (Ds. Belanti) - Teratai,Kalumpang,Ds. Kalumpang,treatment_engine_alias,248,Kalumpang (Ds. Balanti) - Teratai,Precheck only; canonical Treatment Engine road_key still required.
hss-county-138,138,108,Karang Jawa - Ambarai - Sungai Bungur,Padang Batung,Ds. Karang Jawa - Ds. Pandulangan,exact_normalized,138,Karang Jawa -Ambarai - Sungai Bungur,Precheck only; canonical Treatment Engine road_key still required.
hss-county-024,024,17,JL. Kolonel Sugiono,Kandangan,Kandangan Barat,exact_normalized,024,Kolonel Sugiono,Precheck only; canonical Treatment Engine road_key still required.
hss-county-087,087,66,Tanjungan - SP.10 Batang Kulur - Sungai Kali,Sungai Raya,Ds. Sei Raya Selatan - Ds. Sungai Kali,exact_normalized,087,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,Precheck only; canonical Treatment Engine road_key still required.
hss-county-063,063,61,Jl. Padang Palas,Kandangan,Ds. Amawang Kiri,exact_normalized,063,Padang Palas,Precheck only; canonical Treatment Engine road_key still required.
hss-county-222,222,196,Jl. Tungkaran,Simpur,Ds. Wasah Hulu - Ds. Ulin,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-102,102,174,Hamalau - Telaga Bidadari - Wasah Hilir,Sungai Raya,Ds. Hamalau - Ds. Wasah Hilir,exact_normalized,102,Hamalau - Telaga Bidadari - Wasah Hilir,Precheck only; canonical Treatment Engine road_key still required.
hss-county-028,028,19,Jl. Budi Bakti - Tiga Desember,Kandangan,Tibung Raya - Kandangan Barat,exact_normalized,028,Budi Bakti - Tiga Desember,Precheck only; canonical Treatment Engine road_key still required.
hss-county-250,250,208,Jl. Binjai (Sirih Hulu) - Ds. Seranggan,Kalumpang,Ds. Sirih Hulu - Ds. Asam,exact_normalized,250,Binjai (Sirih Hulu) - Ds. Seranggan,Precheck only; canonical Treatment Engine road_key still required.
hss-county-002,002,2,Jl. Soeprapto - Jl. HM. Rusli,Kandangan,Kandangan Kota,treatment_engine_alias,002,Soeprapto - H.M Rusli,Precheck only; canonical Treatment Engine road_key still required.
hss-county-207,207,177,Simpur - SP.3 Muara Paring Agung,Simpur,Ds. Simpur - Ds.Paring Agung,exact_normalized,207,Simpur - Sp. 3 Muara Paring Agung,Precheck only; canonical Treatment Engine road_key still required.
hss-county-036,036,45,Tembok Lama - Loklua,Kandangan,Ds. Jambu Hilir,exact_normalized,036,Tembok Lama - Loklua,Precheck only; canonical Treatment Engine road_key still required.
hss-county-054,054,42,Pegangsaan Timur - Teluk Aman,Kandangan,Ds. Gambah Dalam - Ds. Sungai Kupang,exact_normalized,054,Pegangsaan Timur - Teluk Aman,Precheck only; canonical Treatment Engine road_key still required.
hss-county-302,302,272,Jl. Muning Tengah - Muning Dalam,Daha Selatan,Ds. Muning Tengah - Muning Dalam,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-210,210,181,Panjampang Bahagia - Bayur,Simpur,Ds. Panjampang Bahagia - Ds. Pantai Ulin,exact_normalized,210,Panjampang  Bahagia - Bayur,Precheck only; canonical Treatment Engine road_key still required.
hss-county-287,287,254,Jl. Malinau - Kandihin,Loksado,Ds. Malinau - Ds. Halunuk,exact_normalized,287,Malinau - Kandihin,Precheck only; canonical Treatment Engine road_key still required.
hss-county-094,094,74,Sungai Raya - Jambu Hulu/Paku,Sungai Raya,Ds. Sungai Raya Utara - Ds. Jambu Hulu,exact_normalized,094,Sungai Raya - Jambu Hulu/Paku,Precheck only; canonical Treatment Engine road_key still required.
hss-county-135,135,88,Teluk Pinang - Padang Rasau,Sungai Raya,Ds. Baluti - Ds. Jembatan Merah,exact_normalized,135,Teluk Pinang - Padang Rasau,Precheck only; canonical Treatment Engine road_key still required.
hss-county-057,057,50,Jl. Papagaran/Pelangsatan,Kandangan,Ds. Sungai Paring - Ds. Amawang Kanan,treatment_engine_alias,057,Papagaran/Palangsatan,Precheck only; canonical Treatment Engine road_key still required.
hss-county-136,136,105,Tanayung - Simpang Ambarai,Padang Batung,Ds. Pandulangan - Ds. Karang Jawa,treatment_engine_alias,136,Tanayung - Simp. Ambarai,Precheck only; canonical Treatment Engine road_key still required.
hss-county-137,137,106,Tabihi - Telaga Langsat,Padang Batung,Ds. Tabihi - Ds. Mandala,exact_normalized,137,Tabihi - Telaga Langsat,Precheck only; canonical Treatment Engine road_key still required.
hss-county-061,061,59,Jl. Rambai - Bariang,Kandangan,Ds. Amawang Kiri Muka - Ds. Bariang,exact_normalized,061,Rambai - Bariang,Precheck only; canonical Treatment Engine road_key still required.
hss-county-025,025,27,Singakarsa - Palas,Kandangan,Kandangan Kota - Ds. Sungai Kupang,exact_normalized,025,Singakarsa - Palas,Precheck only; canonical Treatment Engine road_key still required.
hss-county-103,103,89,Karasikan - Sarang Halang,Sungai Raya,Ds. Karasikan - Ds. Sarang Halang,exact_normalized,103,Karasikan - Sarang Halang,Precheck only; canonical Treatment Engine road_key still required.
hss-county-106,106,93,Jl. Hamalau - Ganda,Sungai Raya,Ds. Hamalau - Ds. Baluti,exact_normalized,106,Hamalau - Ganda,Precheck only; canonical Treatment Engine road_key still required.
hss-county-211,211,183,Ulin - Tanggul (Balai Mas),Simpur,Ds. Ulin - Ds. Pantai Ulin,exact_normalized,211,Ulin - Tanggul (Balai Mas),Precheck only; canonical Treatment Engine road_key still required.
hss-county-272,272,947,Jl. Tanuhi - Hulu Banyu,Loksado,Ds. Hulu Banyu,exact_normalized,272,Tanuhi - Hulu Banyu,Precheck only; canonical Treatment Engine road_key still required.
hss-county-021,021,43,Jl. Sekolah Islam,Kandangan,Kandangan Barat,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-052,052,958,Gambah Dalam - Rantauan,Kandangan,Ds. Gambah Dalam - Ds. Gambah Luar,exact_normalized,052,Gambah Dalam - Rantauan,Precheck only; canonical Treatment Engine road_key still required.
hss-county-206,206,176,Simpur - Simpang Bilui,Simpur,Ds. Simpur,treatment_engine_alias,206,Simpur - Simp. Bilui,Precheck only; canonical Treatment Engine road_key still required.
hss-county-225,225,199,Jl. Mangamol,Simpur,Ds. Pantai Ulin,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-113,113,1004,Jl. Batang Kulur Kiri - Durian Landung,Sungai Raya,Ds. Batang Kulur Kiri - Ds. Paring Agung,exact_normalized,113,Batang Kulur Kiri - Durian Landung,Precheck only; canonical Treatment Engine road_key still required.
hss-county-062,062,60,Jl. Jangkang - Pantai Ulin,Kandangan,Ds. Amawang Kiri - Ds. Pantai Ulin,exact_normalized,062,Jangkang - Pantai Ulin,Precheck only; canonical Treatment Engine road_key still required.
hss-county-008,008,13,Jl. Aluh Idut,Kandangan,Kandangan Kota - Kandangan Utara,exact_normalized,008,Aluh Idut,Precheck only; canonical Treatment Engine road_key still required.
hss-county-040,040,25,Baluti - Jambu Hulu/Paku,Kandangan,Ds. Baluti - Ds. Jambu Hulu,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-049,049,33,Kandangan Hulu - SP. Tabihi,Kandangan,Kandangan Kota - Ds. Karang Jawa Muka,exact_normalized,049,Kandangan Hulu - Sp. Tabihi,Precheck only; canonical Treatment Engine road_key still required.
hss-county-017,017,6,Jl. Pemuda,Kandangan,Kandangan Kota,exact_normalized,017,Pemuda,Precheck only; canonical Treatment Engine road_key still required.
hss-county-148,148,119,Pagat Batu - Muara Hariang,Padang Batung,Ds. Batubini,exact_normalized,148,Pagat Batu - Muara Hariang,Precheck only; canonical Treatment Engine road_key still required.
hss-county-203,203,171,Jl. Halayung - Hantarukung,Simpur,Ds. Ulin - Ds. Wasah Hilir,exact_normalized,203,Halayung - Hantarukung,Precheck only; canonical Treatment Engine road_key still required.
hss-county-053,053,41,Gambah Luar - Gambah Dalam,Kandangan,Ds. Gambah Luar Muka - Ds. Gambah Dalam,exact_normalized,053,Gambah Luar - Gambah Dalam,Precheck only; canonical Treatment Engine road_key still required.
hss-county-067,067,85,Teluk Pinang - Baluti,Sungai Raya,Ds. Baluti,exact_normalized,067,Teluk Pinang - Baluti,Precheck only; canonical Treatment Engine road_key still required.
hss-county-001,001,1,Jl. Pangeran Antasari - SP. Loklua,Kandangan,Kandangan Kota - Ds. Baluti,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-056,056,151,Bakarung Tengah - Karang Jawa,Angkinang,Ds. Gambah Luar - Ds. Karang Jawa Muka,exact_normalized,056,Bakarung Tengah - Karang Jawa,Precheck only; canonical Treatment Engine road_key still required.
hss-county-027,027,48,Parincahan - Singakarsa (Jl. Harapan),Kandangan,Kandangan Barat,exact_normalized,027,Parincahan - Singakarsa (Harapan),Precheck only; canonical Treatment Engine road_key still required.
hss-county-260,260,224,Loksado - Haratai,Loksado,Ds. Loksado - Ds. Haratai,exact_normalized,260,Loksado - Haratai,Precheck only; canonical Treatment Engine road_key still required.
hss-county-208,208,178,Wasah Tengah - Sungai Tarap,Simpur,Ds. Wasah Tengah - Ds. Sarang Halang,exact_normalized,208,Wasah Tengah - Sungai Tarap,Precheck only; canonical Treatment Engine road_key still required.
hss-county-169,169,107,Bakarung - Tabihi -Karang Jawa,Angkinang,Ds. Bakarung - Ds. Karang Jawa,exact_normalized,179,Bakarung -Tabihi - Karang Jawa,Precheck only; canonical Treatment Engine road_key still required.
hss-county-065,065,77,Jl. Kalaka Indah - Perumnas Tibung,Sungai Raya,Ds. Hamalau,exact_normalized,065,Kalaka Indah - Perumnas Tibung,Precheck only; canonical Treatment Engine road_key still required.
hss-county-101,101,79,Teluk Pinang - Pahampangan Utara,Sungai Raya,Ds. Karasikan - Ds. Pahampangan,exact_normalized,101,Teluk Pinang - Pahampangan Utara,Precheck only; canonical Treatment Engine road_key still required.
hss-county-305,305,282,SP.4. Banjarbaru - Pihanin Raya,Daha Selatan,Ds. Banjarbaru - Ds. Balah Paikat,exact_normalized,305,SP.4. Banjarbaru - Pihanin Raya,Precheck only; canonical Treatment Engine road_key still required.
hss-county-172,172,139,Angkinang Selatan - Tawia - Wawaran,Angkinang,Ds. Angkinang Selatan - Ds Taniran Kubah,exact_normalized,172,Angkinang Selatan - Tawia - Wawaran,Precheck only; canonical Treatment Engine road_key still required.
hss-county-176,176,144,Bamban Selatan - Pakuan,Angkinang,Ds. Bamban Selatan - Ds. Pakuan Timur,exact_normalized,176,Bamban Selatan - Pakuan,Precheck only; canonical Treatment Engine road_key still required.
hss-county-306,306,289,Bayanan - Pihanin,Daha Selatan,Ds. Bayanan - Ds. Pihanin Raya,exact_normalized,306,Bayanan - Pihanin,Precheck only; canonical Treatment Engine road_key still required.
hss-county-042,042,28,Sei. Kupang Utara - SP.4 Lungau,Kandangan,Ds. Sei Kupang - Ds. Lungau,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-311,311,291,Sei. Mandala - Murung Raya,Daha Utara,Ds. Sungai Mandala - Ds. Murung Raya,exact_normalized,311,Sei. Mandala Murung Raya,Precheck only; canonical Treatment Engine road_key still required.
hss-county-177,177,145,Bamban Utara - Longawang,Angkinang,Ds. Bamban Utara - Ds. Longawang,exact_normalized,177,Bamban Utara - Longawang,Precheck only; canonical Treatment Engine road_key still required.
hss-county-044,044,37,Sp.4 Lungau - Garis,Kandangan,Ds. Lungau - Ds. Bangkau,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-332,332,307,Jl. Kampung Kawat,Daha Utara,Ds. Pekapuran,exact_normalized,332,Kampung Kawat,Precheck only; canonical Treatment Engine road_key still required.
hss-county-195,195,149,Mandampa - Longawang,Angkinang,Ds. Lok Binuang - Ds. Longawang,exact_normalized,195,Mandampa - Longawang,Precheck only; canonical Treatment Engine road_key still required.
hss-county-185,185,1214,Jl. Kayu Abang - Ds. Anjiran,Angkinang,Ds. Kayu Abang - Ds. Bamban,exact_normalized,185,Kayu Abang - Ds. Anjiran,Precheck only; canonical Treatment Engine road_key still required.
hss-county-196,196,162,Gumbil - Masimpan,Telaga Langsat,Ds. Gumbil - Ds. Mandala,exact_normalized,196,Gumbil - Masimpan,Precheck only; canonical Treatment Engine road_key still required.
hss-county-331,331,308,Jl. Cakingan Herman,Daha Utara,Ds. Panggandingan,treatment_engine_alias,331,Cangkingan Herman,Precheck only; canonical Treatment Engine road_key still required.
hss-county-300,300,361,Jl. Tambangan - Ds. Baruh Jaya,Daha Selatan,Ds. Tambangan - Ds. Baruh Jaya,exact_normalized,300,Tambangan - Ds. Baruh Jaya,Precheck only; canonical Treatment Engine road_key still required.
hss-county-310,310,288,Pandak Daun - Baruh Jaya - Samuda,Daha Utara,Ds. Pandak Daun - Ds. Samuda,exact_normalized,310,Pandak Daun - Baruh Jaya - Samuda,Precheck only; canonical Treatment Engine road_key still required.
hss-county-322,322,293,Pakan Dalam II,Daha Utara,Ds. Pakan Dalam,exact_normalized,322,Pakan Dalam II,Precheck only; canonical Treatment Engine road_key still required.
hss-county-328,328,299,Pakan Dalam - Keminting Batu,Daha Utara,Ds. Pakan Dalam - Ds. Tambangan,treatment_engine_alias,328,Pakan Dalam - Kaminting Batu,Precheck only; canonical Treatment Engine road_key still required.
hss-county-291,291,276,Jl. Satria,Daha Selatan,Ds. Tumbukan Banyu,exact_normalized,291,Satria,Precheck only; canonical Treatment Engine road_key still required.
hss-county-043,043,36,SP.4 Lungau - Bangkau,Kandangan,Ds. Lungau - Ds. Bangkau,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-323,323,294,Pakan Dalam III,Daha Utara,Ds. Pakan Dalam,exact_normalized,323,Pakan Dalam III,Precheck only; canonical Treatment Engine road_key still required.
hss-county-327,327,360,Jl. Pandak Daun (Buntut Muradiyah) - Pakan Dalam,Daha Utara,Ds. Pandak Daun - Ds. Pakan Dalam,exact_normalized,327,Pandak Daun (Buntut Muradiyah) - Pakan Dalam,Precheck only; canonical Treatment Engine road_key still required.
hss-county-178,178,141,Angkinang - Kayu Abang - Panggang Hijau,Angkinang,Ds. Angkinang - Ds. Kayu Abang,exact_normalized,178,Angkinang - Kayu Abang - Panggang Hijau,Precheck only; canonical Treatment Engine road_key still required.
hss-county-290,290,263,Tumbukan Banyu - Banua Hanyar,Daha Selatan,Ds. Tumbukan Banyu - Ds. Banua Hanyar,exact_normalized,290,Tumbukan Banyu - Banua Hanyar,Precheck only; canonical Treatment Engine road_key still required.
hss-county-194,194,161,Longawang - Gumbil,Telaga Langsat,Ds. Longawang - Ds. Gumbil,exact_normalized,194,Longawang - Gumbil,Precheck only; canonical Treatment Engine road_key still required.
hss-county-295,295,267,Jl. Mawar,Daha Selatan,Ds. Sungai Pinang,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-175,175,143,Angkinang - Telaga Langsat,Angkinang,Ds. Angkinang - Ds. Mandala,exact_normalized,175,Angkinang - Telaga Langsat,Precheck only; canonical Treatment Engine road_key still required.
hss-county-337,337,302,Hakurung Dalam - Ds. Sungai haji,Daha Utara,Ds. Hakurung,exact_normalized,337,Hakurung Dalam - Ds. Sungai Haji,Precheck only; canonical Treatment Engine road_key still required.
hss-county-338,338,318,Jl. Siang Gantung - Ds. Baru,Daha Barat,Ds. Siang Gantung - Ds. Baru,exact_normalized,338,Siang Gantung - Ds. Baru,Precheck only; canonical Treatment Engine road_key still required.
hss-county-309,309,362,Jl. Tukang Garit,Daha Utara,Ds. Tambangan,exact_normalized,309,Tukang Garit (Tambangan),Precheck only; canonical Treatment Engine road_key still required.
hss-county-333,333,306,Jl. Keminting Batu,Daha Utara,Ds. Tambangan,treatment_engine_alias,333,Kaminting Batu,Precheck only; canonical Treatment Engine road_key still required.
hss-county-339,339,319,Jl. Baru - Ds. Bajayau,Daha Barat,Ds. Baru,exact_normalized,339,Baru - Ds. Bajayau,Precheck only; canonical Treatment Engine road_key still required.
hss-county-296,296,278,Jl. Instalasi PDAM Negara,Daha Selatan,Ds. Habirau,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
hss-county-303,303,281,SP.4 Banjarbaru - Pasar Negara,Daha Selatan,Ds. Banjarbaru - Ds. Bayanan,exact_normalized,303,SP.4 Banjarbaru - Pasar Negara,Precheck only; canonical Treatment Engine road_key still required.
hss-county-321,321,292,Pakan Dalam I,Daha Utara,Ds. Tambak Bitin,exact_normalized,321,Pakan Dalam I,Precheck only; canonical Treatment Engine road_key still required.
hss-county-293,293,266,Jl. Sekolah Islam,Daha Selatan,Ds. Sungai Pinang,unresolved,,,Precheck only; canonical Treatment Engine road_key still required.
